
AC(-1)
AC(-2)
AC(-3)
AC(-4)
AC(-5)
AC(-6)
AC(1)
AC(2)
AC(20)
AC(3)
AC(4)
AC(5)
AC(6)
ACOverrideFormula(13,true,Dexterity)
ACOverrideFormula(16,false)
Ability(Charisma, -1)
Ability(Charisma, -10)
Ability(Charisma, -2)
Ability(Charisma, -2, 24)
Ability(Charisma, -4)
Ability(Charisma, -5)
Ability(Charisma, 1)
Ability(Charisma, 10)
Ability(Charisma, 2)
Ability(Charisma, 31)
Ability(Charisma, 4)
Ability(Charisma, 6)
Ability(Charisma, 8)
Ability(Charisma,-1)
Ability(Charisma,-2)
Ability(Charisma,-3)
Ability(Charisma,-4)
Ability(Charisma,-5)
Ability(Charisma,-6)
Ability(Charisma,-7)
Ability(Charisma,-8)
Ability(Charisma,-9)
Ability(Charisma,2)
Ability(Charisma,3)
Ability(Charisma,4)
Ability(Charisma,5)
Ability(Constitution, -1)
Ability(Constitution, -10)
Ability(Constitution, -2, 24)
Ability(Constitution, -3)
Ability(Constitution, 1)
Ability(Constitution, 10)
Ability(Constitution, 2)
Ability(Constitution, 3)
Ability(Constitution, 31)
Ability(Constitution, 4)
Ability(Constitution, 6)
Ability(Constitution, 8)
Ability(Constitution,-1)
Ability(Constitution,-2)
Ability(Constitution,-3)
Ability(Constitution,-4)
Ability(Constitution,-5)
Ability(Constitution,-6)
Ability(Constitution,-7)
Ability(Constitution,-8)
Ability(Constitution,-9)
Ability(Constitution,2)
Ability(Constitution,3)
Ability(Constitution,5)
Ability(Dexterity, -1)
Ability(Dexterity, -10)
Ability(Dexterity, -2, 24)
Ability(Dexterity, 1)
Ability(Dexterity, 10)
Ability(Dexterity, 2)
Ability(Dexterity, 31)
Ability(Dexterity, 4)
Ability(Dexterity, 6)
Ability(Dexterity, 8)
Ability(Dexterity,-1)
Ability(Dexterity,-2)
Ability(Dexterity,-3)
Ability(Dexterity,-4)
Ability(Dexterity,-5)
Ability(Dexterity,-6)
Ability(Dexterity,-7)
Ability(Dexterity,-8)
Ability(Dexterity,-9)
Ability(Dexterity,1)
Ability(Dexterity,2)
Ability(Dexterity,3)
Ability(Dexterity,4)
Ability(Dexterity,5)
Ability(Intelligence, -1)
Ability(Intelligence, -10)
Ability(Intelligence, -2)
Ability(Intelligence, -2, 24)
Ability(Intelligence, -4)
Ability(Intelligence, -5)
Ability(Intelligence, 1)
Ability(Intelligence, 10)
